DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
07-Jun-2024,FUTURE,LTIMINDTREE LIMITED,LTINFO-27-JUN-2024,5200.0,4910.0,150,OPEN,-4920.0,150,5015.0,150,20
10-Jun-2024,FUTURE,PIDILITE INDUSTRIES LTD,PIDIND-27-JUN-2024,3380.0,3049.9,250,OPEN,-3175.0,250,0.0,0,17
11-Jun-2024,FUTURE,INDIAN HOTELS CO LTD,INDHOT-27-JUN-2024,594.3,579.0,1000,OPEN,-584.5,1000,588.0,1000,16
12-Jun-2024,FUTURE,SBI LIFE INSURANCE COMPANY LTD,SBILIF-27-JUN-2024,1470.0,1425.9,375,OPEN,-1441.0,375,1452.4,375,15
12-Jun-2024,FUTURE,SBI LIFE INSURANCE COMPANY LTD,SBILIF-27-JUN-2024,1470.0,1425.9,375,CLOSE,-1441.0,375,1452.4,375,15
12-Jun-2024,FUTURE,MANAPPURAM FINANCE LIMITED,MANAFI-27-JUN-2024,187.0,181.4,3000,OPEN,-183.6,3000,184.75,3000,15
12-Jun-2024,FUTURE,MANAPPURAM FINANCE LIMITED,MANAFI-27-JUN-2024,187.0,181.4,3000,CLOSE,-183.6,3000,184.75,3000,15
12-Jun-2024,FUTURE,INDIAN HOTELS CO LTD,INDHOT-27-JUN-2024,594.3,579.0,1000,CLOSE,-584.5,1000,588.0,1000,16
12-Jun-2024,FUTURE,RBL BANK LIMITED,RBLBAN-27-JUN-2024,264.0,257.4,2500,OPEN,-256.8,2500,256.8,0,15
12-Jun-2024,FUTURE,INDRAPRASHTHA GAS LTD,INDGAS-27-JUN-2024,485.0,473.9,1375,OPEN,-478.0,1375,478.0,0,15
13-Jun-2024,FUTURE,LTIMINDTREE LIMITED,LTINFO-27-JUN-2024,5200.0,4910.0,150,CLOSE,-4920.0,150,5015.0,150,20
13-Jun-2024,FUTURE,JK CEMENT LIMITED,JKCEME-27-JUN-2024,4400.0,4249.9,125,OPEN,-4298.0,125,4249.9,125,14
13-Jun-2024,FUTURE,JK CEMENT LIMITED,JKCEME-27-JUN-2024,4400.0,4249.9,125,CLOSE,-4298.0,125,4249.9,125,14
14-Jun-2024,FUTURE,CITY UNION BANK LTD,CITUNI-27-JUN-2024,152.0,148.4,5000,OPEN,-149.8,5000,151.5,5000,13
14-Jun-2024,FUTURE,CITY UNION BANK LTD,CITUNI-27-JUN-2024,152.0,148.4,5000,CLOSE,-149.8,5000,151.5,5000,13
14-Jun-2024,FUTURE,HDFC LIFE INSURANCE COM LTD,HDFSTA-27-JUN-2024,630.0,574.9,1100,OPEN,-597.0,1100,0.0,0,13
14-Jun-2024,FUTURE,LUPIN LIMITED,LUPIN-27-JUN-2024,1510.0,1665.1,425,OPEN,1605.0,425,0.0,0,13
