DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
05-Jun-2024,OPTIONS,DIVIS LABORATORIES LIMITED,DIVLAB-27-JUN-2024-4500-CE,210.0,99.0,200,OPEN,-142.0,200,135.0,200,22
06-Jun-2024,OPTIONS,INDIAN ENERGY EXCHANGE LIMITED,INDEN-27-JUN-2024-165-CE,14.0,3.5,3750,OPEN,-7.5,3750,9.0,3750,21
11-Jun-2024,OPTIONS,HCL TECHNOLOGIES LIMITED,HCLTEC-27-JUN-2024-1440-CE,35.0,17.0,350,OPEN,-24.25,350,35.0,350,16
11-Jun-2024,OPTIONS,INDIAN ENERGY EXCHANGE LIMITED,INDEN-27-JUN-2024-165-CE,14.0,3.5,3750,CLOSE,-7.5,3750,9.0,3750,21
11-Jun-2024,OPTIONS,DIVIS LABORATORIES LIMITED,DIVLAB-27-JUN-2024-4500-CE,210.0,99.0,200,CLOSE,-142.0,200,135.0,200,22
12-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23350-PE,22.0,65.1,25,OPEN,65.0,25,-65.1,25,1
12-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23350-PE,22.0,65.1,25,CLOSE,65.0,25,-65.1,25,1
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-49900-PE,140.0,20.0,15,OPEN,-70.0,15,20.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-49900-PE,140.0,20.0,15,CLOSE,-70.0,15,20.0,15,0
12-Jun-2024,OPTIONS,L&T FINANCE LIMITED,LTFINA-27-JUN-2024-170-CE,7.5,2.45,4462,OPEN,-4.4,4462,6.6,4462,15
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50000-CE,220.0,70.0,15,OPEN,-120.0,15,70.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50000-CE,220.0,70.0,15,CLOSE,-120.0,15,70.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50200-CE,250.0,90.0,15,OPEN,-150.0,15,90.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50200-CE,250.0,90.0,15,CLOSE,-150.0,15,90.0,15,0
12-Jun-2024,OPTIONS,FEDERAL BANK LTD,FEDBAN-27-JUN-2024-170-CE,7.0,2.0,5000,OPEN,-4.0,5000,6.3,5000,15
12-Jun-2024,OPTIONS,FEDERAL BANK LTD,FEDBAN-27-JUN-2024-170-CE,7.0,2.0,5000,CLOSE,-4.0,5000,6.3,5000,15
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50200-CE,290.0,130.0,15,OPEN,-190.0,15,130.0,15,0
12-Jun-2024,OPTIONS,NIFTY BANK,CNXBAN-12-JUN-2024-50200-CE,290.0,130.0,15,CLOSE,-190.0,15,130.0,15,0
12-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-CE,160.0,69.9,25,OPEN,-104.0,25,118.0,25,1
12-Jun-2024,OPTIONS,NIFTY 50,NIFTY-13-JUN-2024-23400-CE,160.0,69.9,25,CLOSE,-104.0,25,118.0,25,1
12-Jun-2024,OPTIONS,HCL TECHNOLOGIES LIMITED,HCLTEC-27-JUN-2024-1440-CE,35.0,17.0,350,CLOSE,-24.25,350,35.0,350,16
13-Jun-2024,OPTIONS,L&T FINANCE LIMITED,LTFINA-27-JUN-2024-170-CE,7.5,2.45,4462,CLOSE,-4.4,4462,6.6,4462,15
