DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE
18-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-Jun-2024,201.0,194.0,2500,OPEN,-196.0,2500,196.0,2500,9
18-Jun-2024,FUTURE,BANDHAN BANK LIMITED,BANBAN-27-Jun-2024,201.0,194.0,2500,CLOSE,-196.0,2500,196.0,2500,9
19-Jun-2024,FUTURE,INFOSYS LTD,INFTEC-27-Jun-2024,1535.0,1500.0,400,OPEN,-1512.0,400,1514.0,400,8
19-Jun-2024,FUTURE,CUMMINS INDIA LTD,CUMIND-27-Jun-2024,3760.0,3815.0,300,OPEN,3790.0,300,-0.0,300,8
20-Jun-2024,FUTURE,DEEPAK NITRITE LIMITED,DEENIT-27-Jun-2024,2530.0,2482.0,300,OPEN,-2500.0,300,2513.0,300,7
20-Jun-2024,FUTURE,DEEPAK NITRITE LIMITED,DEENIT-27-Jun-2024,2530.0,2482.0,300,CLOSE,-2500.0,300,2513.0,300,7
20-Jun-2024,FUTURE,INFOSYS LTD,INFTEC-27-Jun-2024,1535.0,1500.0,400,CLOSE,-1512.0,400,1514.0,400,8
20-Jun-2024,FUTURE,CUMMINS INDIA LTD,CUMIND-27-Jun-2024,3760.0,3815.0,300,CLOSE,3790.0,300,-0.0,300,8
21-Jun-2024,FUTURE,COFORGE LIMITED,NIITEC-27-Jun-2024,5750.0,5279.0,150,OPEN,-5450.0,150,0.0,0,6
21-Jun-2024,FUTURE,HAVELLS INDIA LIMITED,HAVIND-27-Jun-2024,1860.0,1825.0,500,OPEN,-1836.0,500,0.0,0,6
21-Jun-2024,FUTURE,PVR INOX LIMITED,PVRLIM-27-Jun-2024,1430.0,1398.0,407,OPEN,-1411.0,407,1425.0,407,6
21-Jun-2024,FUTURE,PVR INOX LIMITED,PVRLIM-27-Jun-2024,1430.0,1398.0,407,CLOSE,-1411.0,407,1425.0,407,6
21-Jun-2024,FUTURE,TITAN COMPANY LIMITED,TITIND-27-Jun-2024,3260.0,3491.0,175,OPEN,3385.0,175,0.0,0,6
24-Jun-2024,FUTURE,JUBILANT FOODWORKS LIMITED,JUBFOO-27-Jun-2024,565.0,549.0,1250,OPEN,-555.0,1250,559.2,1250,3
24-Jun-2024,FUTURE,JUBILANT FOODWORKS LIMITED,JUBFOO-27-Jun-2024,565.0,549.0,1250,CLOSE,-555.0,1250,559.2,1250,3
25-Jun-2024,FUTURE,BATA INDIA LIMITED,BATIND-27-Jun-2024,1490.0,1458.0,375,OPEN,-1470.0,375,1465.0,375,2
25-Jun-2024,FUTURE,BATA INDIA LIMITED,BATIND-27-Jun-2024,1490.0,1458.0,375,CLOSE,-1470.0,375,1465.0,375,2
25-Jun-2024,FUTURE,KOTAK MAHINDRA BANK LTD,KOTMAH-27-Jun-2024,1800.0,1776.0,400,OPEN,-1789.0,400,0.0,0,2
