DATE,STRATEGY,STOCK,SYMBOL,TARGET,STOP_LOSS,LOT,TYPE,OPEN_PRICE,OPEN_QTY,CLOSE_PRICE,CLOSE_QTY,DTE,PORTFOLIO_NAME,PORTFOLIO_ID,LEG_NO
13-Jun-2024,FUTURE,JKCEME,JKCEME-27-Jun-2024,4400.0,4250.0,125,OPEN,-4298.0,125,4298.0,125,14,Long Future,105342,1
13-Jun-2024,FUTURE,JKCEME,JKCEME-27-Jun-2024,4400.0,4250.0,125,CLOSE,-4298.0,125,4298.0,125,14,Long Future,105342,1
14-Jun-2024,FUTURE,CITUNI,CITUNI-27-Jun-2024,152.0,148.4,5000,OPEN,-149.8,5000,149.8,5000,13,Long Future,105529,1
14-Jun-2024,FUTURE,CITUNI,CITUNI-27-Jun-2024,152.0,148.4,5000,CLOSE,-149.8,5000,149.8,5000,13,Long Future,105529,1
14-Jun-2024,FUTURE,HDFSTA,HDFSTA-27-Jun-2024,630.0,575.0,1100,OPEN,-597.0,1100,0.0,0,13,Weekly Future Long,105620,1
14-Jun-2024,FUTURE,LUPIN,LUPIN-27-Jun-2024,1510.0,1607.5,425,OPEN,1605.0,425,-1605.0,425,13,Weekly Future Short,105623,1
18-Jun-2024,FUTURE,LUPIN,LUPIN-27-Jun-2024,1510.0,1607.5,425,CLOSE,1605.0,425,-1605.0,425,13,Weekly Future Short,105623,1
18-Jun-2024,FUTURE,MANAFI,MANAFI-27-Jun-2024,194.0,188.3,3000,OPEN,-190.3,3000,190.3,3000,9,Long Future,105827,1
18-Jun-2024,FUTURE,MANAFI,MANAFI-27-Jun-2024,194.0,188.3,3000,CLOSE,-190.3,3000,190.3,3000,9,Long Future,105827,1
19-Jun-2024,FUTURE,SUNPHA,SUNPHA-27-Jun-2024,1550.0,1517.0,350,OPEN,-1530.5,350,0.0,0,8,Long Future,105969,1
19-Jun-2024,FUTURE,INFTEC,INFTEC-27-Jun-2024,1535.0,1500.0,400,OPEN,-1512.0,400,1535.0,400,8,Long Future,106059,1
20-Jun-2024,FUTURE,INFTEC,INFTEC-27-Jun-2024,1535.0,1500.0,400,CLOSE,-1512.0,400,1535.0,400,8,Long Future,106059,1
20-Jun-2024,FUTURE,DRLAL,DRLAL-27-Jun-2024,2745.0,2689.0,300,OPEN,-2711.0,300,2708.4,300,7,Long Future,106283,1
20-Jun-2024,FUTURE,PIIND,PIIND-27-Jun-2024,3920.0,3720.0,250,OPEN,-3720.0,250,3760.95,250,7,Positional Long Future,106223,1
20-Jun-2024,FUTURE,PIIND,PIIND-27-Jun-2024,3920.0,3720.0,250,CLOSE,-3720.0,250,3760.95,250,7,Positional Long Future,106223,1
21-Jun-2024,FUTURE,DRLAL,DRLAL-27-Jun-2024,2745.0,2689.0,300,CLOSE,-2711.0,300,2708.4,300,7,Long Future,106283,1
21-Jun-2024,FUTURE,NIITEC,NIITEC-27-Jun-2024,5750.0,5279.0,150,OPEN,-5450.0,150,0.0,0,6,Positional Long Future,106457,1
21-Jun-2024,FUTURE,HAVIND,HAVIND-27-Jun-2024,1860.0,1825.0,500,OPEN,-1836.0,500,0.0,0,6,Long Future,106485,1
