"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"0","ACRTEC","BE","ACROPETAL TECHNOLOGIES LIMITED",0.01,1,"","",0,10,"INE055L01013",4.3,2.1,156,2.1,"","","",0,0,0,1.75,1.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ACROPETAL"
"0","ALFLAV","EQ","ALFA LAVAL (INDIA) LIMITED",0.01,1,"","",0,10,"INE427A01017",3949.95,1342.5,3949.95,73,"","","",0,0,0,4736.3,3157.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ALFALAVAL"
"0","AMAREM","BE","AMAR REMEDIES LTD",0.01,1,"","",0,10,"INE787G01011",48.2,5.8,171.3,5.8,"","","",0,0,0,6.05,5.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AMAR"
"0","ANDBAN","EQ","ANDHRA BANK",0.01,1,"","",0,10,"INE434A01013",33.65,7.65,189.9,7.3,"","","",0,0,0,10.9,7.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ANDHRABANK"
"0","ARITHR","EQ","ARIHANT THREADS LTD",0.01,1,"","",0,10,"INE747A01018",2.15,0.5,9,0.3,"","","",0,0,0,2.55,1.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ARIHANTRED"
"0","BANRAJ","EQ","THE BANK OF RAJASTHAN LTD",0.01,1,"","",0,10,"INE320A01014",213.95,54.25,213.95,5.33,"","","",0,0,0,233.9,191.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BANKRAJAS"
"0","BELCER","EQ","BELL CERAMICS LIMITED",0.01,1,"","",0,10,"INE403A01026",11.8,5.45,0,0,"","","",0,0,0,10.4,6.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BELCERAMIC"
"0","BHAFIN","EQ","BHARAT FINANCIAL INCLUSION LTD",0.01,1,"","",0,10,"INE180K01011",1234.8,823.75,1491.5,54.3,"","","",0,0,0,1077.6,718.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BHARATFIN"
"0","BLOPLA","EQ","BLOW PLAST LTD",0.01,1,"","",0,10,"INE051A01015",152.4,72.25,152.4,7.5,"","","",0,0,0,124,82.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLOWPLAST"
"0","BLUBIR","BE","BLUE BIRD (INDIA) LIMITED",0.01,1,"","",0,10,"INE697H01010",37.9,9.5,128,9.5,"","","",0,0,0,12.05,8.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLUEBIRD"
"0","BRARET","BE","BRANDHOUSE RETAILS LIMITED",0.01,1,"","",0,10,"INE317J01011",4.25,0.9,106,0.9,"","","",0,0,0,0.5,0.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BRANDHOUSE"
"0","BVHOLD","EQ","GEODESIC LTD",0.01,1,"","",0,2,"INE371D01029",36.25,2.5,288,2.5,"","","",0,0,0,4.65,4.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GEODESIC"
"0","CAPFIR","EQ","CAPITAL FIRST LIMITED",0.01,1,"","",0,10,"INE688I01017",901.85,437.25,1097.45,91,"","","",0,0,0,645.9,528.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAPF"
"0","CENBN","EQ","CENTURION BANK OF PUNJAB LTD",0.01,1,"","",0,1,"INE484A01026",75.3,35.75,75.3,4.93,"","","",0,0,0,49.7,33.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTBOP"
"0","COMINT","EQ","COMPUTECH INTL LTD.",0.01,1,"","",0,5,"INE751A01028",5.75,2.55,232.13,2.3,"","","",0,0,0,3.1,2.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COMPUTECH"
"0","COREDU","BE","CORE EDUCATION & TECHNOLOGIES",0.01,1,"","",0,2,"INE247G01024",13.95,4.5,464.9,4.5,"","","",0,0,0,1.8,1.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COREEDUTEC"
